Question,Option A,Option B,Option C,Option D,Correct Answer,Answer Option,Year,Difficulty,Topic,Explanation
94. Which one of the following office has not been provided by the Indian Constitution? (A) Deputy Speaker of State Legislative Assembly (B) Deputy Prime Minister (C) Deputy Chairman of Rajya Sabha (D) Deputy Speaker of Lok Sabha,Deputy Speaker of State Legislative Assembly,Deputy Prime Minister,Deputy Chairman of Rajya Sabha,Deputy Speaker of Lok Sabha,Deputy Prime Minister.,B,,Medium,Prime Minister,
95. What was the number of princely states in India at the time of partition? (A) 555 (B) 558 (C) 560 (D) 562,555,558,560,562,562.,D,,Medium,Miscellaneous,
96. Communalism means (A) Showing favor on the basis of religion (B) Showing favor to one community (C) All communities are equal before the law (D) None of the above,Showing favor on the basis of religion,Showing favor to one community,All communities are equal before the law,None of the above,Showing favor to one community.,B,,Medium,Miscellaneous,
97. Supreme Court in its judgment on the Best Bakery case has severely criticized the Government of (A) Madhya Prades (B) West Bengal (C) Maharashtra (D) Gujarat,Madhya Prades,West Bengal,Maharashtra,Gujarat,Gujarat.,D,,Medium,Supreme Court,
98. Which of the following statements correctly describes a hung Parliament? (A) The Parliament lacks the quorum to conduct business (B) A lame duck Parliament (C) A Parliament in which no party has a clear majority (D) The Prime Minister has resigned but the Parliament is not dissolved,The Parliament lacks the quorum to conduct business,A lame duck Parliament,A Parliament in which no party has a clear majority,The Prime Minister has resigned but the Parliament is not dissolved,A Parliament in which no party has a clear majority.,C,,Medium,Prime Minister,
99. Which Article of the Constitution of India deals with securing for the citizens a uniform civil code throughout the territory of India. (A) Article 43 (B) Article 44 (C) Article 41 (D) Article 42,Article 43,Article 44,Article 41,Article 42,Article 44.,B,,Medium,Miscellaneous,
100. India achieved political independence from British Role on (A) 15th August 1947 (B) 26th January 1950 (C) 26th January 1950 (D) 26th November 1942,15th August 1947,26th January 1950,26th January 1950,26th November 1942,15th August 1947.,A,,Medium,Miscellaneous,
101. The verdict of the Supreme Court in which one of the following cases has made the imposition of the President's rule any State under article 356 of Constitution difficult?  (A) Kaveri water dispute case between two Southern States (B) None of the above (C) A. K. Gopalan Vs Union of India (D) S. R. Bommai Vs Union of India (regarding the State of Karnataka),Kaveri water dispute case between two Southern States,None of the above,A. K. Gopalan Vs Union of India,S. R. Bommai Vs Union of India (regarding the State of Karnataka),S. R. Bommai Vs Union of India (regarding the State of Karnataka).,A,,Medium,Supreme Court,
102. The National Green Tribunal was established in India in  (A) 2011 (B) 2012 (C) 2009 (D) 2010,2011,2012,2009,2010,2010.,D,,Medium,Miscellaneous,
103. Taxes on income other than agricultural income shall be levied and collected by the Government of India under Article of India  (A) 270 (B) 275 (C) 268 (D) 269,270,275,268,269,269.,D,,Medium,Miscellaneous,
"104. In the classification of power in the Constitution of India, education falls in  (A) Concurrent List (B) None of the above (C) Central List (D) State List",Concurrent List,None of the above,Central List,State List,Concurrent List.,A,,Medium,Miscellaneous,
105. Under which Article of the Constitution of India can the Indian Parliament make laws under the Residuary powers?  (A) Article 250 (B) Article 251 (C) Article 248 (D) Article 249,Article 250,Article 251,Article 248,Article 249,Article 248.,C,,Medium,Parliament,
106. Finances are distributed between the Centre and the States on the basis of the recommendations of the  (A) National Development Council (B) Public Accounts Committee (C) Planning Commission (D) Finance Commission,National Development Council,Public Accounts Committee,Planning Commission,Finance Commission,Finance Commission.,D,,Medium,Finance Commission,
107. Which of the following items come under the concurrent list?  (A) Public Health (B) Insurance (C) Agriculture (D) Labour Welfare,Public Health,Insurance,Agriculture,Labour Welfare,Labour Welfare.,D,,Medium,Miscellaneous,
108. Which constitutional mechanism is adopted for the distribution resources between the Centre and States?  (A) Indian Finance Commission set up at the interval of five years (B) The Planning Commission (C) The Union Finance Ministry (D) None of the above,Indian Finance Commission set up at the interval of five years,The Planning Commission,The Union Finance Ministry,None of the above,Indian Finance Commission set up at the interval of five years.,A,,Medium,Finance Commission,
109. Indian constitution allows state legislatures to pass  (A) Constitutional Amendments (B) State Budget (C) Union Budget (D) None of the above,Constitutional Amendments,State Budget,Union Budget,None of the above,State Budget.,B,,Medium,State Legislature,
"110. Education, under the Indian Constitution, is included in  (A) The Concurrent list (B) The State list (C) The Union list (D) None of the above",The Concurrent list,The State list,The Union list,None of the above,The Concurrent list.,A,,Medium,Miscellaneous,
"111. Agriculture, under the Indian Constitution, is a (A) Concurrent list (B) Union Government subject. (C) State subject (D) None of the above",Concurrent list,Union Government subject.,State subject,None of the above,State subject.,C,,Medium,Miscellaneous,
112. The number of subjects enumerated int he concurrent list for purpose of Legislation  (A) 50 (B) 57 (C) 40 (D) 47,50,57,40,47,47.,D,,Medium,Miscellaneous,
113. Grants-in-aid are provided for in the Constitution of India under Articles  (A) 275 and 285 (B) 275 and 282 (C) 274 and 275 (D) 275 and 296,275 and 285,275 and 282,274 and 275,275 and 296,275 and 282.,B,,Medium,Miscellaneous,
114. Taw and Order is included in the  (A) State List (B) Union List (C) Concurrent List (D) None of the above,State List,Union List,Concurrent List,None of the above,Union List.,B,,Medium,Miscellaneous,
115. In India non-agricultural income tax is  (A) levied and appropriated by the Centre. (B) levied by the Centre and shared with the States. (C) levied by the Centre and fully distributed among the States. (D) levied by the States,levied and appropriated by the Centre.,levied by the Centre and shared with the States.,levied by the Centre and fully distributed among the States.,levied by the States,levied by the Centre and shared with the States..,B,,Medium,Miscellaneous,
116. The total number of Panchayat Samiti in West Bengal is (A) Over 500 (B) Over 225 (C) Over 341 (D) Just below 500,Over 500,Over 225,Over 341,Just below 500,Over 341.,C,,Medium,Miscellaneous,
117. Panchayat Samiti is an organization associated with  (A) Block (B) Zilla (C) A single village (D) a couple of villagers,Block,Zilla,A single village,a couple of villagers,Block.,A,,Medium,Miscellaneous,
"118. Among all Panchayat Samitis seats, seats reserved for women is  (A) One-third of the total seats (B) One-sixth of the total seats. (C) One-fifth of the total seats (D) One-fourth of the total seats",One-third of the total seats,One-sixth of the total seats.,One-fifth of the total seats,One-fourth of the total seats,One-third of the total seats.,A,,Medium,Miscellaneous,
119. Panchayati Raj was first started in  (A) Rajasthan (B) Kerala (C) Uttar Pradesh (D) Bihar,Rajasthan,Kerala,Uttar Pradesh,Bihar,Rajasthan.,A,,Medium,Miscellaneous,
120. A system of Panchayati Raj existed even before 1947 in  (A) Tamil Nadu (B) All of the above (C) Maharashtra (D) Gujarat,Tamil Nadu,All of the above,Maharashtra,Gujarat,Tamil Nadu.,A,,Medium,Miscellaneous,
121. The powers and responsibilities of the Panchayat Raj an be revised by the  (A) Governor (B) Central (C) President (D) State Government,Governor,Central,President,State Government,State Government.,D,,Medium,Miscellaneous,
122. The establishment of a Gram Sabha becomes mandatory by  (A) The 73rd Amendment of the Constitution (B) The 74th Amendment of the Constitution (C) The 71 st Amendment of the Constitution (D) The 72nd Amendment of the Constitution,The 73rd Amendment of the Constitution,The 74th Amendment of the Constitution,The 71 st Amendment of the Constitution,The 72nd Amendment of the Constitution,The 73rd Amendment of the Constitution.,A,,Medium,Miscellaneous,
123. The power and responsibility of Panchayati Raj institution can be revised by  (A) State Government (B) Union Government (C) President (D) Governor,State Government,Union Government,President,Governor,State Government.,A,,Medium,Miscellaneous,
124. Which of the Committees or Commissions made recommendations for granting more power and responsibilities to the Panchayati Raj?  (A) Mondal Commission (B) None of the above (C) Jain Commission (D) Mehta Committee,Mondal Commission,None of the above,Jain Commission,Mehta Committee,Mehta Committee.,D,,Medium,Miscellaneous,
125. Which of the following gets special representation to Panchayati Raj Institutions  (A) Co-operative (B) All of them (C) Women (D) OBC,Co-operative,All of them,Women,OBC,Women.,C,,Medium,Miscellaneous,
126. Panchayati Raj was started in India in the year  (A) 1959 (B) 1961 (C) 1956 (D) 1951,1959,1961,1956,1951,1959.,A,,Medium,Miscellaneous,
127. The Government of West Bengal introduced democratic elections to the local bodies in  (A) 1979 (B) 1980 (C) 1977 (D) 1978,1979,1980,1977,1978,1978.,D,,Medium,Miscellaneous,
128. The decision to hold Panchayat Election is taken by the  (A) Union Home Ministry (B) Election Commission (C) District Magistrate (D) State Government,Union Home Ministry,Election Commission,District Magistrate,State Government,State Government.,D,,Medium,Election Commission,
129. How many amendments to the Indian Constitution have so far been made?  (A) 103 (B) 124 (C) 102 (D) 132,103,124,102,132,103.,A,,Medium,Miscellaneous,
130. By which Amendment of the Indian Constitution were the fundamental duties of citizens inserted?  (A) 42nd Amendment (B) 43rd Amendment (C) 40th Amendment (D) 41st Amendment,42nd Amendment,43rd Amendment,40th Amendment,41st Amendment,42nd Amendment.,A,,Medium,Fundamental Duties,
131. Which of the following Amendments of the Indian Constitution deals with the anti-defection law?  (A) 53rd Amendment (B) 54th Amendment (C) 51 st Amendment (D) 52nd Amendment,53rd Amendment,54th Amendment,51 st Amendment,52nd Amendment,52nd Amendment.,D,,Medium,Anti-Defection Law,
132. Which of the following words has been incorporated into the Preamble to the Constitution of India by the 42nd Amendment?  (A) Secular Democratic (B) Democratic Republic (C) Sovereign Socialist (D) Socialist Secular,Secular Democratic,Democratic Republic,Sovereign Socialist,Socialist Secular,Socialist Secular.,D,,Medium,Preamble of the Constitution,
133. By which Amendment of the Constitution was the minimum age of voter lowered from 21 to 18 years?  (A) 61st (B) 63rd (C) 48th (D) 57th,61st,63rd,48th,57th,61st.,A,,Medium,Miscellaneous,
134. Indian Constitution can be amended under Article  (A) 390 (B) 239 (C) 220 (D) 368,390,239,220,368,368.,D,,Medium,Miscellaneous,
135. The first Amendment Act to the India Constitution was made in the year  (A) 1955 (B) 1960 (C) 1949 (D) 1951,1955,1960,1949,1951,1951.,D,,Medium,Miscellaneous,
"136. By which amendment of the Constitution of India, the right to property was excluded from the Fundamental Rights?  (A) 43rd Amendment (B) 44th Amendment (C) 40th Amendment (D) 41 st Amendment",43rd Amendment,44th Amendment,40th Amendment,41 st Amendment,44th Amendment.,B,,Medium,Miscellaneous,
137. Which Amendment of the Constitution provided constitutional status to the Panchayats?  (A) 74th Amendment (B) 76th Amendment (C) 56th Amendment (D) 73rd Amendment,74th Amendment,76th Amendment,56th Amendment,73rd Amendment,73rd Amendment.,D,,Medium,Miscellaneous,
138. The 108th Constitution (Amendment) Bill was introduced by the UPA Government in Rajya Sabha with the aim of  (A) Establishing the right to education as a Fundamental Right (B) Providing one-third reservation for the woman in Parliament and State Legislative Assemblies (C) Including the Gujjar community of Rajasthan in the list of Scheduled Tribes (D) Protecting the right to of arrested persons,Establishing the right to education as a Fundamental Right,Providing one-third reservation for the woman in Parliament and State Legislative Assemblies,Including the Gujjar community of Rajasthan in the list of Scheduled Tribes,Protecting the right to of arrested persons,Providing one-third reservation for the woman in Parliament and State Legislative Assemblies.,B,,Medium,Parliament,
139. 73rd Constitutional Amendment in 1992 1. Provided a constitutional guarantee to the formation of Panchayat at the village and other levels 2. Added a new part to the Constitution relating to urban local bodies 3. Stipulated that all Panchayat member be elected for a five-year term in elections supervised by State Election Commission Which of the statements given above is/are correct?  (A) 1 only (B) 2 only (C) 1 and 2 (D) 1 and 3,1 only,2 only,1 and 2,1 and 3,1 and 3.,D,,Medium,Election Commission,
140. Which constitutional Amendment Act granted the Right to Education for all Indian citizens?  (A) 86th Amendment (B) 91 st Amendment (C) 73rd Amendment (D) 74th Amendment,86th Amendment,91 st Amendment,73rd Amendment,74th Amendment,86th Amendment.,A,,Medium,Miscellaneous,
141. The 109th amendment of the Indian Constitution relates to  (A) Reservation for SCs and STs (B) Official language (C) The President's power (D) Age of Voters,Reservation for SCs and STs,Official language,The President's power,Age of Voters,Reservation for SCs and STs.,A,,Medium,Official Language,
142. The world Socialist and Secular were inserted in the Preamble of the Indian Constitution by the  (A) 43rd Amendment (B) 44th Amendment (C) 24th Amendment (D) 42nd Amendment,43rd Amendment,44th Amendment,24th Amendment,42nd Amendment,42nd Amendment.,D,,Medium,Preamble of the Constitution,
143. Which Amendment of the Constitution reduced the voting age from 21 years to 18 years?  (A) 62nd Amendment (B) 63rd Amendment (C) 60th Amendment (D) 61st Amendment,62nd Amendment,63rd Amendment,60th Amendment,61st Amendment,61st Amendment.,D,,Medium,Miscellaneous,
144. The minimum age for being eligible to vote in the Indian Elections was reduced from 21 years to 18 years in the decade of —  (A) 1980's (B) 1990's (C) 1960's (D) 1970's,1980's,1990's,1960's,1970's,1990's.,B,,Medium,Miscellaneous,
"145. No person shall be deprived of his property, Movable or immovable.  (A) This right can be easily abrogated by any Govt. (B) This is a right created by a landmark court order (C) This is a fundamental right (D) This is an ordinary right",This right can be easily abrogated by any Govt.,This is a right created by a landmark court order,This is a fundamental right,This is an ordinary right,This is an ordinary right.,D,,Medium,Miscellaneous,
146. To be granted the Status of the official opposition in a legislature a political party must have at least -  (A) 5 percent of elected members (B) 7 percent of elected members (C) 10 percent of elected members (D) 15 percent of elected members,5 percent of elected members,7 percent of elected members,10 percent of elected members,15 percent of elected members,10 percent of elected members.,C,,Medium,Miscellaneous,
147. Sikkim became a full-fledged State of India in  (A) 1965 (B) 1875 (C) 1985 (D) 1975,1965,1875,1985,1975,1975.,D,,Medium,Miscellaneous,
148. Which is the first linguistic State of India?  (A) Bihar (B) Punjab (C) West Bengal (D) Andhra Pradesh,Bihar,Punjab,West Bengal,Andhra Pradesh,Andhra Pradesh.,D,,Medium,Miscellaneous,
149. Article 370 of the Constitution of India applicable in  (A) Karnataka (B) Bihar (C) Maharashtra (D) Jammu & Kashmir,Karnataka,Bihar,Maharashtra,Jammu & Kashmir,Jammu & Kashmir.,D,,Medium,Miscellaneous,
"150. Which of the following is included in the Employees State Insurance Act, 1948?  (A) Minimum Wages (B) None of the above (C) Unemployment Insurance (D) Medical Benefit",Minimum Wages,None of the above,Unemployment Insurance,Medical Benefit,Medical Benefit.,D,,Medium,Miscellaneous,
171. Who appoints a member of UPSC and State PSCs? (A) Governor (B) President (C) President and Governor respectively (D) President on the recommendation of Prime minister and Chief Minister respectively,Governor,President,President and Governor respectively,President on the recommendation of Prime minister and Chief Minister respectively,"President and Governor respectively. Explanation: A member of state PSC is appointed by Governor, but the member of joint PSCs is appointed by President. President can only remove a member or multiple members of State PSCs and UPSC if they proved wrong in the court of laws.",C,,Medium,Prime Minister,"A member of state PSC is appointed by Governor, but the member of joint PSCs is appointed by President. President can only remove a member or multiple members of State PSCs and UPSC if they proved wrong in the court of laws."
172. The state Jammu & Kashmir enjoys special constitutional status following article 370. It implies the state as  (A) a separate constitution (B) a separate defense force (C) a separate foreign policy (D) Att the above,a separate constitution,a separate defense force,a separate foreign policy,Att the above,"a separate constitution. Explanation: Following the article 370 of Indian constitution the state J & K enjoy a special constitutional status. It allows the state to have a separate constitution which stops people from other location to buying a property in this state. Indian Penal Code does not follow in J & K rather Ranbir Penal Code(RPC) followed. Indian Parliament can not make laws on this state without pass the proposal in this state assembly, But the govt of India has right on defense, foreign policy, and communication. The state assembly of J&K is a 6-year tenure whereas the rest of the Indian state has 5 years.",A,,Medium,Miscellaneous,"Following the article 370 of Indian constitution the state J & K enjoy a special constitutional status. It allows the state to have a separate constitution which stops people from other location to buying a property in this state. Indian Penal Code does not follow in J & K rather Ranbir Penal Code(RPC) followed. Indian Parliament can not make laws on this state without pass the proposal in this state assembly, But the govt of India has right on defense, foreign policy, and communication. The state assembly of J&K is a 6-year tenure whereas the rest of the Indian state has 5 years."
173. The main source of the Indian Constitution was considered to be the Indian Regulation Act 1935. Which of the following is not a feature of Regulation Act 1935? (A) All India Federation (B) Provincial Autonomy (C) Dyarchy of Center and the Provinces (D) Bicameral Legislature,All India Federation,Provincial Autonomy,Dyarchy of Center and the Provinces,Bicameral Legislature,"Dyarchy of Center and the Provinces. Explanation: If you notice closely you can find that options B and C are contradictory. If there is provincial autonomy how could it be dyarchy? Actually, dyarchy was abolished from provinces and applied in the center.",C,,Medium,State Legislature,"If you notice closely you can find that options B and C are contradictory. If there is provincial autonomy how could it be dyarchy? Actually, dyarchy was abolished from provinces and applied in the center."
"174. Govt of India Act,1935 was the lengthiest act by that time. According to this article, the residuary power was vested in (A) State Legislature (B) Viceroy (C) Federal Legislature (D) British parliament",State Legislature,Viceroy,Federal Legislature,British parliament,Viceroy.,B,,Medium,State Legislature,
"175. Under the GOI, 1935, The federal court was established. The court had the jurisdiction of (A) appellate jurisdiction only (B) advisory jurisdiction only (C) original jurisdiction only (D) All the above",appellate jurisdiction only,advisory jurisdiction only,original jurisdiction only,All the above,All the above.,D,,Medium,Miscellaneous,
176. Judicial Committee of the Privy Council was the highest court to appeal for a commonwealth country under the British empire. It was established in (A) 1813 (B) 1726 (C) 1683 (D) 1833,1813,1726,1683,1833,1833. Explanation: Privy Council was considered as the court of last resort. India retained the right to appeal from the Federal Court of India till 1950. It was abolished by the act of 1949 following the replacement of the Federal Court by The Supreme Court of India. The system of appeal from India to the Privy Council in England was introduced by the Charter Act 1933.,D,,Medium,Miscellaneous,Privy Council was considered as the court of last resort. India retained the right to appeal from the Federal Court of India till 1950. It was abolished by the act of 1949 following the replacement of the Federal Court by The Supreme Court of India. The system of appeal from India to the Privy Council in England was introduced by the Charter Act 1933.
177. The date mentioned in the preamble of the Indian Constitution is (A) 18289 (B) 18593 (C) 17924 (D) 18228,18289,18593,17924,18228,18228. Explanation: It was the date when the constitution was adopted in 26-Nov-1949. The constitution was finally enacted in 26-January-1950.,D,,Medium,Preamble of the Constitution,It was the date when the constitution was adopted in 26-Nov-1949. The constitution was finally enacted in 26-January-1950.
178. Which of the following word is not added by the 42nd Constitutional Amendment? (A) Fraternity (B) Integrity (C) Liberty (D) Unity,Fraternity,Integrity,Liberty,Unity,"Liberty. Explanation: The words were added by 42nd CA are Secular, Socialist, Fraternity, Unity, and Integrity.",C,,Medium,Miscellaneous,"The words were added by 42nd CA are Secular, Socialist, Fraternity, Unity, and Integrity."
"179. According to the constitution, what is the source of all power? (A) Indian National Army (B) President (C) Prime Minister and its cabinet (D) We, the people of India",Indian National Army,President,Prime Minister and its cabinet,"We, the people of India","We, the people of India.",D,,Medium,Prime Minister,
180. A quasi-federal form of government i.e a federal system with strong central government was adopted in Indian constitution from the constitution of (A) UK (B) USA (C) Canada (D) Russia,UK,USA,Canada,Russia,Canada.,C,,Medium,Miscellaneous,
"1. During which of the following periods did the Constituent Assembly deliberate upon and finalize the Constitution of India? (A) December 1946-November, 1949 (B) December 1947-November, 1949 (C) November 1946-November, 1949 (D) November 1947-November, 1949.","December 1946-November, 1949","December 1947-November, 1949","November 1946-November, 1949","November 1947-November, 1949.","December 1946-November, 1949. Explanation: The first session of Constitution assembly was held in the Constituent Hall, Delhi in 9th December 1946. The Constitution was adopted on 26th November in 1949. The calculation of total working days is 2 years 11 months and 17 days.",A,,Medium,Making of the Constitution,"The first session of Constitution assembly was held in the Constituent Hall, Delhi in 9th December 1946. The Constitution was adopted on 26th November in 1949. The calculation of total working days is 2 years 11 months and 17 days."
2. What does the term 'sovereign' imply? (A) Free from territorial disputes (B) Free from control by any international body (C) Free from external control (D) Free from internal control.,Free from territorial disputes,Free from control by any international body,Free from external control,Free from internal control.,"Free from external control. Explanation: In Polity the term 'Sovereign' means a bounded territorial region, which is completely free from external control. For example, India is a sovereign country, it does not under the suzerainty of any other country. The term 'Dominion' is the opposite term of 'Sovereign'. Dominion country means the country is ruled by the people of the country, but the supreme authority is held by some other country. It is similar to an Autonomous College under certain University or an autonomous university which follow the rules of UGC.",C,,Medium,Miscellaneous,"In Polity the term 'Sovereign' means a bounded territorial region, which is completely free from external control. For example, India is a sovereign country, it does not under the suzerainty of any other country. The term 'Dominion' is the opposite term of 'Sovereign'. Dominion country means the country is ruled by the people of the country, but the supreme authority is held by some other country. It is similar to an Autonomous College under certain University or an autonomous university which follow the rules of UGC."
3. What is the chief source of political power in India? (A) The Parliament (B) The Constitution (C) The people (D) None.,The Parliament,The Constitution,The people,None.,"The people. Explanation: In the first line of preamble it is declared that 'WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC'. So, The people of India is the main source of political power. It is the main features of a democratic country we people will decide who will rule the nation.",C,,Medium,Parliament,"In the first line of preamble it is declared that 'WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC'. So, The people of India is the main source of political power. It is the main features of a democratic country we people will decide who will rule the nation."
"4. The Preamble to the Constitution declares India as (A) a Sovereign, Socialist, Secular, Democratic, Republic (B) a Federal, Democratic, Republic (C) a Sovereign, Democratic, Republic (D) a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic","a Federal, Democratic, Republic","a Sovereign, Democratic, Republic","a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic. Explanation: The other important words of the preamble are JUSTICE, LIBERTY, EQUALITY, FRATERNITY, Unity, Integrity. The date mentioned in the preamble is the 26th day of November 1949",A,,Medium,Preamble of the Constitution,"The other important words of the preamble are JUSTICE, LIBERTY, EQUALITY, FRATERNITY, Unity, Integrity. The date mentioned in the preamble is the 26th day of November 1949"
5. India's political system is (A) Military (B) Dictatorial (C) Democratic (D) None of these.,Military,Dictatorial,Democratic,None of these.,"Democratic. Explanation: The term ‘democracy’ is derived from Greek words, which mean rule by people, But rule by people is not viable for a country so representative of people will rule the nation. The representative may be elected post or dynastic ( monarchy i.e. ruled by king or queen). So, there are many countries which are democratic in nature but not a republic like, England, Japan etc these are technically a monarchy ruled country. India is a democratic republic and multi-party government. China follows a unitary form of government.",C,,Medium,Miscellaneous,"The term ‘democracy’ is derived from Greek words, which mean rule by people, But rule by people is not viable for a country so representative of people will rule the nation. The representative may be elected post or dynastic ( monarchy i.e. ruled by king or queen). So, there are many countries which are democratic in nature but not a republic like, England, Japan etc these are technically a monarchy ruled country. India is a democratic republic and multi-party government. China follows a unitary form of government."
6. The Constitution of India established a Parliamentary system of Government following the pattern of (A) Canada (B) Sweden (C) France (D) Britain.,Canada,Sweden,France,Britain.,"Britain.. Explanation: Indian government is a parliamentary form of government and not a Presidential form of government. The Council of the ministers is collectively responsible to Lok-Sabha as per the article 75(3). Although the supreme lawmaking authority is vested with the Constitution. So, the legislature of the country makes laws following the provisions of the Constitution.",D,,Medium,Parliament,"Indian government is a parliamentary form of government and not a Presidential form of government. The Council of the ministers is collectively responsible to Lok-Sabha as per the article 75(3). Although the supreme lawmaking authority is vested with the Constitution. So, the legislature of the country makes laws following the provisions of the Constitution."
"7. The Constitution of India is (A) Flexible (B) Very rigid (C) Rigid (D) Partly rigid, partly flexible.",Flexible,Very rigid,Rigid,"Partly rigid, partly flexible.","Partly rigid, partly flexible.. Explanation: There are a few provision in the constitution which can be amended with a simple majority of both house, there are also a few provisions which needs a special majority and in some case, it needs to be attained ratification of half of the state legislature when the provision is related to federal structure of nation. There are some provisions which cannot amend, those are called the basic feature of the constitution. So, we can say that the Indian Constitution is partly flexible and partly rigid.",D,,Medium,Miscellaneous,"There are a few provision in the constitution which can be amended with a simple majority of both house, there are also a few provisions which needs a special majority and in some case, it needs to be attained ratification of half of the state legislature when the provision is related to federal structure of nation. There are some provisions which cannot amend, those are called the basic feature of the constitution. So, we can say that the Indian Constitution is partly flexible and partly rigid."
8. The system of Indian democracy is (A) Presidential form of Government (B) Multi-party and Parliamentary in nature (C) By-party and Parliamentary in nature (D) None of the above.,Presidential form of Government,Multi-party and Parliamentary in nature,By-party and Parliamentary in nature,None of the above.,Multi-party and Parliamentary in nature.,B,,Medium,Parliament,
9. How many members were initially in the Constituent Assembly of India? (A) 389 (B) 310 (C) 300 (D) 304.,389,310,300,304.,389.,A,,Medium,Making of the Constitution,
"10. The Preamble to the Constitution declares India as (A) a Sovereign, Socialist, Secular, Democratic, Republic (B) a Federal, Democratic, Republic (C) a Sovereign, Democratic, Republic (D) a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic","a Federal, Democratic, Republic","a Sovereign, Democratic, Republic","a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic.",A,,Medium,Preamble of the Constitution,
11. Indian Polity is (A) Semi-feudal in nature (B) Unitary in nature (C) Federal in nature (D) None of these.,Semi-feudal in nature,Unitary in nature,Federal in nature,None of these.,Semi-feudal in nature.,A,,Medium,Miscellaneous,
12. The Indian Constitution provides for a form of government which is (A) Unitary (B) Federal (C) Quasi-federal (D) None of these.,Unitary,Federal,Quasi-federal,None of these.,Quasi-federal.,C,,Medium,Miscellaneous,
"13. Which of the following was the biggest source for the Constitution of India? (A) The Indian Independence Act, 1947 (B) Indian Councils Act 1909 (C) The Government of India Act, 1919 (D) The government of India Act, 1935.","The Indian Independence Act, 1947",Indian Councils Act 1909,"The Government of India Act, 1919","The government of India Act, 1935.","The government of India Act, 1935..",D,,Medium,Miscellaneous,
14. In whose report the idea of a federation of states was first proposed? (A) Motilal Nehru (B) Shyamaprasad Mukherjee (C) Rajagopalachari (D) Sarat Bose.,Motilal Nehru,Shyamaprasad Mukherjee,Rajagopalachari,Sarat Bose.,Motilal Nehru.,A,,Medium,Miscellaneous,
"15. Who, among the following, was the Chairperson of the Drafting Committee set up by the Constituent Assembly? (A) Dr. B. R. Ambedkar (B) Vallab Bhai Patel (C) Jawaharlal Nehru (D) Dr. Rajendra Prasad.",Dr. B. R. Ambedkar,Vallab Bhai Patel,Jawaharlal Nehru,Dr. Rajendra Prasad.,Dr. B. R. Ambedkar.,A,,Medium,Making of the Constitution,
"16. What is the proper connotation of the term 'secularism'? (A) The State should promote dominant religion (B) In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations (C) The State is the patron of all religions (D) None of the above.",The State should promote dominant religion,"In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations",The State is the patron of all religions,None of the above.,"In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations.",B,,Medium,Miscellaneous,
17. The system of Government in India is actually (A) Unitary with federal features (B) Quasi-federal (C) Federal (D) Unitary.,Unitary with federal features,Quasi-federal,Federal,Unitary.,Unitary with federal features.,A,,Medium,Miscellaneous,
18. The President of the Constituent Assembly of 1946 was (A) Vallabhai Patel (B) Abul Kalam Azad (C) Dr. Rajendra Prasad (D) Jawaharlal Nehru.,Vallabhai Patel,Abul Kalam Azad,Dr. Rajendra Prasad,Jawaharlal Nehru.,Dr. Rajendra Prasad.,C,,Medium,Making of the Constitution,
19. The Constitution of which one of the following countries conventions play a prominent role? (A) Indian Constitution (B) British Constitution (C) US Constitution (D) French Constitution.,Indian Constitution,British Constitution,US Constitution,French Constitution.,British Constitution.,B,,Medium,Miscellaneous,
20. The Constitution of Independent India was put in practice on (A) 26th January 1950 (B) 26th January 1951 (C) 15th August 1947 (D) 26th November 1949.,26th January 1950,26th January 1951,15th August 1947,26th November 1949.,26th January 1950.,A,,Medium,Miscellaneous,
21. The concept of welfare state is included in the Constitution of India in the (A) Fourth Schedule. (B) Directive Principles of State Policy. (C) Preamble. (D) Fundamental Rights.,Fourth Schedule.,Directive Principles of State Policy.,Preamble.,Fundamental Rights.,Directive Principles of State Policy..,B,,Medium,Preamble of the Constitution,
22. In which year was the part on Fundamental Duties included in the Constitution by the Indian Parliament? (A) 1980. (B) 1982. (C) 1976. (D) 1987.,1980.,1982.,1976.,1987.,1976..,C,,Medium,Fundamental Duties,
23. Article 24 of the Indian Constitution prohibits employment of children in any factory below the age of (A) 7 years. (B) 15 years. (C) 14 years. (D) 12 years.,7 years.,15 years.,14 years.,12 years.,14 years..,C,,Medium,Miscellaneous,
24. In which year was passed the Congress resolution on Fundamental Rights and National Economic Policy? (A) 1921. (B) 1935. (C) 1940. (D) 1931.,1921.,1935.,1940.,1931.,1931..,D,,Medium,Miscellaneous,
